시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 팔용동,174-10,0174,0010,(174-10),92.09,47.24,201611,20,"        13,000",4,2002,남산로27번길 11
경상남도 창원의창구 팔용동,174-10,0174,0010,(174-10),23.575,12.09,201611,20,"         3,700",3,2002,남산로27번길 11
경상남도 창원의창구 팔용동,174-10,0174,0010,(174-10),25.375,13.02,201611,20,"         4,200",3,2002,남산로27번길 11
경상남도 창원의창구 팔용동,174-10,0174,0010,(174-10),27.801,14.26,201611,20,"         4,300",3,2002,남산로27번길 11
경상남도 창원의창구 팔용동,174-10,0174,0010,(174-10),23.575,12.09,201611,20,"         3,700",2,2002,남산로27번길 11
경상남도 창원의창구 팔용동,174-10,0174,0010,(174-10),23.575,12.09,201611,20,"         3,700",2,2002,남산로27번길 11
경상남도 창원의창구 팔용동,174-10,0174,0010,(174-10),23.575,12.09,201611,20,"         3,700",3,2002,남산로27번길 11
경상남도 창원의창구 팔용동,174-10,0174,0010,(174-10),27.801,14.26,201611,20,"         4,300",2,2002,남산로27번길 11
경상남도 창원의창구 팔용동,174-10,0174,0010,(174-10),25.375,13.02,201611,20,"         4,200",2,2002,남산로27번길 11
경상남도 창원의창구 팔용동,175-4,0175,0004,(175-4),97.8,49.45,201610,13,"        14,600",4,2002,의창대로116번길 19-4
경상남도 창원의창구 팔용동,184-11,0184,0011,라인빌라,74.21,49.23,201701,16,"        16,000",4,1996,의창대로132번길 29-11
경상남도 창원의창구 팔용동,181-4,0181,0004,롯데오피스텔,106.68,57.35,201609,13,"        16,107",5,2002,남산로9번길 24
경상남도 창원의창구 팔용동,181-4,0181,0004,롯데오피스텔,22.44,12.06,201609,13,"         3,956",2,2002,남산로9번길 24
경상남도 창원의창구 팔용동,181-4,0181,0004,롯데오피스텔,22.44,12.06,201609,13,"         3,956",3,2002,남산로9번길 24
경상남도 창원의창구 팔용동,181-4,0181,0004,롯데오피스텔,22.44,12.06,201609,13,"         3,956",3,2002,남산로9번길 24
